word	cat_v1
abt	a1-stressed
acht	a1-stressed
af	a1-stressed
al	a1-stressed
alg	a1-stressed
als	a1-stressed
alt	a1-stressed
ambt	a1-stressed
an	a1-stressed
An	a1-stressed
ar	a1-stressed
ark	a1-stressed
arm	a1-stressed
arts	a1-stressed
as	a1-stressed
Bab	a1-stressed
Babs	a1-stressed
Bach	a1-stressed
bad	a1-stressed
bak	a1-stressed
Bak	a1-stressed
bakt	a1-stressed
bal	a1-stressed
balk	a1-stressed
Balk	a1-stressed
balt	a1-stressed
Bals	a1-stressed
bals	a1-stressed
ban	a1-stressed
band	a1-stressed
Band	a1-stressed
bang	a1-stressed
bank	a1-stressed
bar	a1-stressed
bars	a1-stressed
barst	a1-stressed
Bart	a1-stressed
Bas	a1-stressed
Bast	a1-stressed
bast	a1-stressed
bat	a1-stressed
blad	a1-stressed
blaf	a1-stressed
blaft	a1-stressed
blank	a1-stressed
bracht	a1-stressed
Brackx	a1-stressed
brak	a1-stressed
Braks	a1-stressed
Brams	a1-stressed
Bram	a1-stressed
Brand	a1-stressed
brand	a1-stressed
brandt	a1-stressed
Brants	a1-stressed
Bras	a1-stressed
Cals	a1-stressed
Carls	a1-stressed
Carl	a1-stressed
Cas	a1-stressed
dat	a1-stressed
Daf	a1-stressed
dag	a1-stressed
dak	a1-stressed
dal	a1-stressed
Dal	a1-stressed
dam	a1-stressed
Dam	a1-stressed
damp	a1-stressed
dampt	a1-stressed
dan	a1-stressed
dank	a1-stressed
dankt	a1-stressed
dans	a1-stressed
danst	a1-stressed
dar	a1-stressed
darm	a1-stressed
darts	a1-stressed
das	a1-stressed
Dax	a1-stressed
dacht	a1-stressed
dracht	a1-stressed
draf	a1-stressed
Dragt	a1-stressed
drang	a1-stressed
drank	a1-stressed
dwang	a1-stressed
dwars	a1-stressed
fax	a1-stressed
Fax	a1-stressed
faxt	a1-stressed
flans	a1-stressed
flank	a1-stressed
flap	a1-stressed
flapt	a1-stressed
flat	a1-stressed
Fnac	a1-stressed
frak	a1-stressed
Franc	a1-stressed
francs	a1-stressed
Franck	a1-stressed
frank	a1-stressed
Franks	a1-stressed
Frans	a1-stressed
Frantz	a1-stressed
Franz	a1-stressed
gal	a1-stressed
galg	a1-stressed
galm	a1-stressed
galmt	a1-stressed
gang	a1-stressed
gans	a1-stressed
gas	a1-stressed
gast	a1-stressed
gat	a1-stressed
gaf	a1-stressed
glad	a1-stressed
glans	a1-stressed
glanst	a1-stressed
glas	a1-stressed
Glas	a1-stressed
gracht	a1-stressed
gram	a1-stressed
grap	a1-stressed
grapt	a1-stressed
gras	a1-stressed
Gras	a1-stressed
had	a1-stressed
Had	a1-stressed
hadt	a1-stressed
Hak	a1-stressed
hakt	a1-stressed
Haks	a1-stressed
hal	a1-stressed
Hal	a1-stressed
half	a1-stressed
hals	a1-stressed
Halst	a1-stressed
ham	a1-stressed
Ham	a1-stressed
Han	a1-stressed
hand	a1-stressed
hands	a1-stressed
hang	a1-stressed
hangt	a1-stressed
Hans	a1-stressed
hap	a1-stressed
hapt	a1-stressed
Har	a1-stressed
hards	a1-stressed
hard	a1-stressed
Hark	a1-stressed
Harm	a1-stressed
Harms	a1-stressed
harp	a1-stressed
hars	a1-stressed
hart	a1-stressed
hasj	a1-stressed
Jac	a1-stressed
jacht	a1-stressed
Jacq	a1-stressed
Jag	a1-stressed
jak	a1-stressed
Jans	a1-stressed
Jan	a1-stressed
jankt	a1-stressed
jas	a1-stressed
Jas	a1-stressed
jat	a1-stressed
kaf	a1-stressed
kaft	a1-stressed
kak	a1-stressed
kakt	a1-stressed
Kal	a1-stressed
kalf	a1-stressed
kalk	a1-stressed
kalm	a1-stressed
kalft	a1-stressed
kam	a1-stressed
kamt	a1-stressed
kamp	a1-stressed
Kamp	a1-stressed
kampt	a1-stressed
kan	a1-stressed
kans	a1-stressed
kant	a1-stressed
Kants	a1-stressed
kap	a1-stressed
kapt	a1-stressed
kar	a1-stressed
Kar	a1-stressed
Karl	a1-stressed
kart	a1-stressed
Karst	a1-stressed
kas	a1-stressed
Kask	a1-stressed
kast	a1-stressed
kat	a1-stressed
Kat	a1-stressed
Kats	a1-stressed
klacht	a1-stressed
klad	a1-stressed
klak	a1-stressed
klam	a1-stressed
klamp	a1-stressed
klampt	a1-stressed
klank	a1-stressed
klant	a1-stressed
klap	a1-stressed
Klap	a1-stressed
klaps	a1-stressed
klapt	a1-stressed
klas	a1-stressed
knak	a1-stressed
knakt	a1-stressed
knal	a1-stressed
knalt	a1-stressed
knap	a1-stressed
knapt	a1-stressed
knar	a1-stressed
knars	a1-stressed
kwam	a1-stressed
krab	a1-stressed
krabt	a1-stressed
kracht	a1-stressed
krak	a1-stressed
Kralj	a1-stressed
kram	a1-stressed
kramp	a1-stressed
krans	a1-stressed
krant	a1-stressed
krap	a1-stressed
kras	a1-stressed
krast	a1-stressed
krat	a1-stressed
krats	a1-stressed
kwab	a1-stressed
kwak	a1-stressed
Kwak	a1-stressed
kwakt	a1-stressed
kwal	a1-stressed
kwark	a1-stressed
kwart	a1-stressed
kwast	a1-stressed
kwats	a1-stressed
lab	a1-stressed
lach	a1-stressed
Lach	a1-stressed
lacht	a1-stressed
laf	a1-stressed
lak	a1-stressed
laks	a1-stressed
lam	a1-stressed
lamp	a1-stressed
lands	a1-stressed
land	a1-stressed
landt	a1-stressed
lang	a1-stressed
langs	a1-stressed
lans	a1-stressed
lap	a1-stressed
Lapps	a1-stressed
Lapp	a1-stressed
lapt	a1-stressed
Laps	a1-stressed
Larf	a1-stressed
Lars	a1-stressed
las	a1-stressed
Las	a1-stressed
last	a1-stressed
lat	a1-stressed
lag	a1-stressed
macht	a1-stressed
mafs	a1-stressed
maf	a1-stressed
maft	a1-stressed
mag	a1-stressed
mak	a1-stressed
mal	a1-stressed
mals	a1-stressed
malt	a1-stressed
mams	a1-stressed
mam	a1-stressed
man	a1-stressed
Man	a1-stressed
mans	a1-stressed
mand	a1-stressed
mank	a1-stressed
mankt	a1-stressed
Manns	a1-stressed
Mann	a1-stressed
map	a1-stressed
Mar	a1-stressed
Marcs	a1-stressed
Marc	a1-stressed
Marg	a1-stressed
Marks	a1-stressed
Mark	a1-stressed
markt	a1-stressed
Markt	a1-stressed
mars	a1-stressed
Mars	a1-stressed
Mart	a1-stressed
Marx	a1-stressed
Mas	a1-stressed
mast	a1-stressed
mat	a1-stressed
matst	a1-stressed
Max	a1-stressed
nacht	a1-stressed
naft	a1-stressed
nam	a1-stressed
Nam	a1-stressed
Nams	a1-stressed
Nan	a1-stressed
Nand	a1-stressed
Nans	a1-stressed
nar	a1-stressed
Nar	a1-stressed
Nart	a1-stressed
nats	a1-stressed
nat	a1-stressed
pacht	a1-stressed
Pacht	a1-stressed
pact	a1-stressed
pad	a1-stressed
paf	a1-stressed
pak	a1-stressed
pakt	a1-stressed
pal	a1-stressed
palm	a1-stressed
Palm	a1-stressed
palms	a1-stressed
palmt	a1-stressed
Pan	a1-stressed
pand	a1-stressed
paps	a1-stressed
pap	a1-stressed
papt	a1-stressed
par	a1-stressed
Parc	a1-stressed
Parcs	a1-stressed
park	a1-stressed
Park	a1-stressed
part	a1-stressed
pas	a1-stressed
Pas	a1-stressed
pass	a1-stressed
passt	a1-stressed
past	a1-stressed
pats	a1-stressed
Pax	a1-stressed
Paz	a1-stressed
Pfaffs	a1-stressed
Pfaff	a1-stressed
plak	a1-stressed
plakt	a1-stressed
plan	a1-stressed
Planck	a1-stressed
plank	a1-stressed
plant	a1-stressed
plas	a1-stressed
plast	a1-stressed
plat	a1-stressed
placht	a1-stressed
pracht	a1-stressed
prak	a1-stressed
prat	a1-stressed
psalm	a1-stressed
rad	a1-stressed
Raf	a1-stressed
rag	a1-stressed
ragt	a1-stressed
Ralf	a1-stressed
ram	a1-stressed
Ram	a1-stressed
ramt	a1-stressed
ramp	a1-stressed
ramsj	a1-stressed
ranch	a1-stressed
rand	a1-stressed
rang	a1-stressed
rank	a1-stressed
Rans	a1-stressed
rap	a1-stressed
ras	a1-stressed
Ras	a1-stressed
rat	a1-stressed
rats	a1-stressed
Sams	a1-stressed
Sam	a1-stressed
Sankt	a1-stressed
sap	a1-stressed
Sar	a1-stressed
Sars	a1-stressed
sas	a1-stressed
Sas	a1-stressed
sax	a1-stressed
schacht	a1-stressed
schaf	a1-stressed
schaft	a1-stressed
schalt	a1-stressed
schamp	a1-stressed
Schamp	a1-stressed
schampt	a1-stressed
schans	a1-stressed
Schans	a1-stressed
schap	a1-stressed
Schap	a1-stressed
schar	a1-stressed
schat	a1-stressed
Sjams	a1-stressed
Sjan	a1-stressed
sjans	a1-stressed
Sjans	a1-stressed
slab	a1-stressed
slacht	a1-stressed
slag	a1-stressed
slak	a1-stressed
slang	a1-stressed
slank	a1-stressed
slap	a1-stressed
smak	a1-stressed
Smak	a1-stressed
smakt	a1-stressed
smal	a1-stressed
Smant	a1-stressed
smart	a1-stressed
snak	a1-stressed
snakt	a1-stressed
snap	a1-stressed
snapt	a1-stressed
snars	a1-stressed
span	a1-stressed
spant	a1-stressed
spar	a1-stressed
Spar	a1-stressed
spat	a1-stressed
sprak	a1-stressed
stad	a1-stressed
stads	a1-stressed
staf	a1-stressed
Staf	a1-stressed
stal	a1-stressed
stalt	a1-stressed
Stals	a1-stressed
stam	a1-stressed
Stam	a1-stressed
stamt	a1-stressed
stamp	a1-stressed
stampt	a1-stressed
stand	a1-stressed
stands	a1-stressed
stang	a1-stressed
stank	a1-stressed
stap	a1-stressed
stapt	a1-stressed
star	a1-stressed
Starck	a1-stressed
start	a1-stressed
Start	a1-stressed
Stas	a1-stressed
stak	a1-stressed
straf	a1-stressed
straft	a1-stressed
strafs	a1-stressed
strak	a1-stressed
straks	a1-stressed
