word;template;stress.pattern;DoubleC;AmbC;proper_name;cat_v1;cat_v2;cat_v3;cat_v4;exclusion motivation
abattoir;CV.CV.CVC;wwS;no;;no;aa1-unstressed;A;;;
abrikoos;CV.CCV.CVC;wwS;no;yes;;aa1-unstressed;i;;;
academie;CV.CV.CV.CV;wwSw;no;;no;aa1-unstressed;a;;;
accent;CVC.CVCC;wS;yes;;no;a1-unstressed;E;;;
accepteer;CVC.CVC.CVC;wwS;yes;;no;a1-unstressed;@;;;
accordeon;CV.CVC.CV.CVC;wwwS;yes;;no;a1-unstressed;O;;;
acetaat;CV.CV.CVC;wwS;no;;no;aa1-unstressed;@;;;
abdij;;wS;no;;no;a1-unstressed;ei;;;
aceton;CV.CV.CVC;wwS;no;;no;aa1-unstressed;@;;;
actie;CVC.CV;Sw;no;;no;a1-stressed;i;;;
alles;;Sw;yes;;;a1-stressed;@;;;
allemaal;;;yes;;;N/A;;;;variable stress
alleen;;wS;yes;;;a1-unstressed;;;;
altijd;;wS;no;;;N/A;;;;variable stress
actief;;wS;no;;no;a1-unstressed;;;;
activist;;wwS;no;;;a1-unstressed;i;;;
acuut;CV.CVC;wS;no;;no;aa1-unstressed;y;;;
Adidas;CV.CV.CVC;Sww;no;;yes;aa1-stressed;i;;;
adjudant;CVC.CV.CVCC;wwS;no;;no;a1-unstressed;y;;;
adopteer;CV.CVC.CVC;wwS;no;;no;aa1-unstressed;O;;;
advocaat;;wwS;no;;;a1-unstressed;o;;;
afgezant;CVC.CV.CVCC;Sww;no;;no;a1-stressed;@;;;
aftocht;CVC.CVCC;Sw;no;;no;a1-stressed;O;;;
agenda;CV-CVC.CV;wSw;no;;no;aa1-unstressed;E;;;
agent;CV.CVCC;wS;no;;no;aa1-unstressed;E;;;
agiteer;CV.CV.CVC;wwS;no;;no;aa1-unstressed;i;;;
agora;CV.CV.CV;wSw;no;;;aa1-unstressed;o;;;
akoestiek;CV.CVC.CVC;wwS;no;;no;aa1-unstressed;u;;;
alarm;CV.CVCC;wS;no;;no;aa1-unstressed;A;;;
Alaska;CV.CVC.CV;wSw;no;;yes;aa1-unstressed;A;;;
albino;;wSw;no;;;a1-unstressed;i;;;
algoritme;;wwSw;no;;;a1-unstressed;o;;;
alhambra;;wSw;no;;;a1-unstressed;A;;;
allegorie;CV.CV.CV.CV;wwwS;yes;;no;a1-unstressed;@;;;
allemaal;CV.CV.CVC;wwS;yes;;no;a1-unstressed;@;;;
alliantie;CVC.CV.CVC.CV;wwSw;yes;;no;a1-unstressed;i;;;
alligator;CVC.CV.CV.CVC;wwSw;yes;no;no;a1-unstressed;i;;;
alpaka;CV.CV.CV;wSw;no;;no;a1-unstressed;A;;;
alumna;;wSw;no;;;aa1-unstressed;Y;;;
alumni;;wSw;no;;;aa1-unstressed;Y;;;
alumnus;;wSw;no;;;aa1-unstressed;Y;;;
amalgaam;CV.CVC.CVC;wwS;no;;no;aa1-unstressed;A;;;
amateur;CV.CV.CVC;wwS;no;;no;aa1-unstressed;a;;;
amazone;;wwSw;no;;;aa1-unstressed;a;;;
ambassadeur;CVC.CV.CV.CVVC;wwwS;no;;no;a1-unstressed;A;;;
Amerika;CV.CV.CV.CV;wSww;no;;no;aa1-unstressed;e;;;
ammunitie;;wwSw;yes;;;a1-unstressed;y;;;
amusant;CV.CV.CVCC;wwS;no;;no;aa1-unstressed;y;;;
amuseer;CV.CV.CVC;wwS;no;;no;aa1-unstressed;y;;;
anaal;CV.CVC;wS;no;;no;aa1-unstressed;a;;;
anagram;CV.CV.CCVC;wwS;no;;no;aa1-unstressed;a;;;
analfabeet;;wwwS;no;;;a1-unstressed;A;;;
analist;CV.CV.CVCC;wwS;no;;no;aa1-unstressed;a;;;
analoog;CV.CV.CVC;wwS;no;;no;aa1-unstressed;a;;;
ananas;CV.CV.CVC;Sww;no;yes;no;a1-stressed;A;;;
anarchie;CV.CVC.CV;wwS;no;;no;aa1-unstressed;A;;;
